"Collision,Comp,DCPD,AB,Make ,Model,Body Style,Model Year"
"48,9,107,98,ACURA,CSX 4DR,4D,2006"
"62,29,76,527,ACURA,CSX 4DR,4D,2007"
"65,19,140,591,ACURA,CSX 4DR,4D,2008"
"79,15,84,97,ACURA,CSX 4DR,4D,2009"
"71,16,88,253,ACURA,CSX 4DR,4D,2010"
"78,31,103,77,ACURA,CSX 4DR,4D,2011"
"43,20,76,152,ACURA,EL 4DR,4D,2005"
"113,56,141,350,ACURA,ILX 4DR,4D,2013"
"100,37,131,95,ACURA,ILX 4DR,4D,2014"
"149,59,191,264,ACURA,ILX 4DR,4D,2015"
"173,34,177,270,ACURA,ILX 4DR,4D,2016"
"177,46,178,153,ACURA,ILX 4DR,4D,2017"
"154,57,180,99,ACURA,ILX 4DR,4D,2018"
"140,75,196,71,ACURA,ILX 4DR,4D,2019"
"141,86,164,853,ACURA,ILX 4DR,4D,2020"
"39,29,53,136,ACURA,MDX 4DR 4WD,SUV,2005"
"40,19,64,233,ACURA,MDX 4DR 4WD,SUV,2006"
"55,34,64,124,ACURA,MDX 4DR 4WD,SUV,2007"
"78,40,75,257,ACURA,MDX 4DR 4WD,SUV,2008"
"62,30,82,101,ACURA,MDX 4DR 4WD,SUV,2009"
"79,71,62,91,ACURA,MDX 4DR 4WD,SUV,2010"
"80,24,80,74,ACURA,MDX 4DR 4WD,SUV,2011"
"66,37,95,192,ACURA,MDX 4DR 4WD,SUV,2012"
"87,63,74,116,ACURA,MDX 4DR 4WD,SUV,2013"
"105,83,118,191,ACURA,MDX 4DR 4WD,SUV,2014"
"107,62,113,71,ACURA,MDX 4DR 4WD,SUV,2015"
"107,97,108,157,ACURA,MDX 4DR 4WD,SUV,2016"
"101,93,139,157,ACURA,MDX 4DR 4WD,SUV,2017"
"124,83,110,83,ACURA,MDX 4DR 4WD,SUV,2018"
"130,158,142,71,ACURA,MDX 4DR 4WD,SUV,2019"
"115,158,131,95,ACURA,MDX 4DR 4WD,SUV,2020"
"119,116,224,168,ACURA,MDX 4DR 4WD,SUV,2022"
"123,98,177,303,ACURA,MDX 4DR 4WD,SUV,2023"
"53,21,76,128,ACURA,RDX 4DR AWD,SUV,2007"
"65,26,78,159,ACURA,RDX 4DR AWD,SUV,2008"
"51,30,72,79,ACURA,RDX 4DR AWD,SUV,2009"
"45,44,95,136,ACURA,RDX 4DR AWD,SUV,2010"
"66,29,76,79,ACURA,RDX 4DR AWD,SUV,2011"
"87,34,114,132,ACURA,RDX 4DR AWD,SUV,2012"
"70,38,130,140,ACURA,RDX 4DR AWD,SUV,2013"
"93,33,90,66,ACURA,RDX 4DR AWD,SUV,2014"
"89,42,84,50,ACURA,RDX 4DR AWD,SUV,2015"
"61,56,122,57,ACURA,RDX 4DR AWD,SUV,2016"
"82,49,107,64,ACURA,RDX 4DR AWD,SUV,2017"
"93,47,115,127,ACURA,RDX 4DR AWD,SUV,2018"
"91,343,116,101,ACURA,RDX 4DR AWD,SUV,2019"
"95,629,114,51,ACURA,RDX 4DR AWD,SUV,2020"
"91,713,143,108,ACURA,RDX 4DR AWD,SUV,2021"
"86,104,165,163,ACURA,RDX 4DR AWD,SUV,2022"
"126,121,181,100,ACURA,RDX 4DR AWD,SUV,2023"
"     .,28,89,151,ACURA,RSX 2DR,2D,2005"
"     .,43,73,682,ACURA,RSX 2DR,2D,2006"
"50,18,83,174,ACURA,TL 4DR,4D,2005"
"72,31,119,128,ACURA,TL 4DR,4D,2006"
"72,35,99,125,ACURA,TL 4DR,4D,2007"
"71,43,101,187,ACURA,TL 4DR,4D,2008"
"104,33,117,330,ACURA,TL 4DR,4D,2009"
"117,46,110,73,ACURA,TL 4DR,4D,2010"
"97,43,103,331,ACURA,TL 4DR,4D,2012"
"130,48,95,207,ACURA,TL 4DR,4D,2013"
"75,47,117,101,ACURA,TL 4DR AWD,4D,2009"
"121,39,122,83,ACURA,TL 4DR AWD,4D,2010"
"73,44,99,148,ACURA,TL 4DR AWD,4D,2012"
"95,71,110,78,ACURA,TL 4DR AWD,4D,2013"
"100,73,125,92,ACURA,TL 4DR AWD,4D,2014"
"76,56,96,121,ACURA,TL TYPE S 4DR,4D,2007"
"91,76,116,107,ACURA,TL TYPE S 4DR,4D,2008"
"124,59,157,402,ACURA,TLX 4DR,4D,2015"
"158,101,186,161,ACURA,TLX 4DR,4D,2016"
"207,132,156,183,ACURA,TLX 4DR,4D,2017"
"232,152,245,80,ACURA,TLX 4DR,4D,2018"
"144,140,188,34,ACURA,TLX 4DR,4D,2019"
"225,219,274,407,ACURA,TLX 4DR,4D,2020"
"166,69,153,53,ACURA,TLX 4DR AWD,4D,2015"
"152,96,152,170,ACURA,TLX 4DR AWD,4D,2016"
"155,98,138,59,ACURA,TLX 4DR AWD,4D,2017"
"165,176,157,69,ACURA,TLX 4DR AWD,4D,2018"
"201,149,199,191,ACURA,TLX 4DR AWD,4D,2019"
"139,213,218,162,ACURA,TLX 4DR AWD,4D,2020"
"178,390,240,94,ACURA,TLX 4DR AWD,4D,2021"
"37,16,86,104,ACURA,TSX 4DR,4D,2005"
"64,21,78,134,ACURA,TSX 4DR,4D,2006"
"77,24,134,192,ACURA,TSX 4DR,4D,2007"
"74,58,97,338,ACURA,TSX 4DR,4D,2008"
"62,25,119,289,ACURA,TSX 4DR,4D,2009"
"83,31,81,302,ACURA,TSX 4DR,4D,2010"
"85,42,90,229,ACURA,TSX 4DR,4D,2011"
"90,33,100,189,ACURA,TSX 4DR,4D,2012"
"95,47,118,91,ACURA,TSX 4DR,4D,2013"
"     .,89,     .,59,ACURA,ZDX 4DR AWD,SUV,2010"
"253,163,     .,161,ALFA ROMEO,GIULIA 4DR AWD,4D,2017"
"158,116,229,78,ALFA ROMEO,STELVIO 4DR AWD,SUV,2018"
"157,143,126,668,AUDI,A3 4DR,4D,2015"
"162,46,196,71,AUDI,A3 4DR,4D,2016"
"144,81,156,44,AUDI,A3 QUATTRO 4DR,4D,2015"
"158,77,185,134,AUDI,A3 QUATTRO 4DR,4D,2016"
"214,89,245,216,AUDI,A3 QUATTRO 4DR,4D,2017"
"276,68,193,48,AUDI,A3 QUATTRO 4DR,4D,2018"
"199,129,252,77,AUDI,A3 QUATTRO 4DR,4D,2019"
"     .,     .,     .,433,AUDI,A3 QUATTRO WAGON,WGN,2009"
"     .,39,     .,15,AUDI,A3 QUATTRO WAGON,WGN,2012"
"     .,19,49,31,AUDI,A3 WAGON,WGN,2006"
"     .,     .,84,263,AUDI,A3 WAGON,WGN,2007"
"     .,37,100,88,AUDI,A3 WAGON,WGN,2008"
"123,42,106,87,AUDI,A3 WAGON,WGN,2012"
"179,154,     .,25,AUDI,A4 2.0T QUATTRO WAGON,WGN,2017"
"185,192,302,5,AUDI,A4 2.0T QUATTRO WAGON,WGN,2018"
